timestamp,source,url,status,file_path,note
2026-05-27T11:22:25,Zenodo 10.5281/zenodo.19242690,https://zenodo.org/api/records/19242690,metadata_downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Downloads_2026-05-27\metadata\zenodo_19242690_metadata.json,
2026-05-27T11:22:27,Zenodo 10.5281/zenodo.19242690,https://zenodo.org/api/records/19242690/files/Organized%20data%20(journal%20ready).xlsx/content,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Downloads_2026-05-27\raw_downloads\zenodo_19242690_Organized data _journal ready_.xlsx,curated UCS/CBR stabilized soil workbook
2026-05-27T11:22:28,NGDR portal metadata,https://geodataindia.gov.in/,failed,,NGDR is a catalog/download portal; raw data report download generally requires portal workflow/login.; URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1010)>
2026-05-27T11:22:28,GSI Bhukosh catalog metadata,https://www.data.gov.in/catalog/bhukosh,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Downloads_2026-05-27\metadata\gsi_bhukosh_catalog_metadata.html,Catalog page only; raw Bhukosh layers require Bhukosh portal/OGC discovery.
2026-05-27T11:22:49,GSI Bhukosh public portal,https://bhukosh.gsi.gov.in/Bhukosh/Public,failed,,"Public GIS portal; automated raw layer download not exposed in static HTML.; URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
2026-05-27T11:23:19,ISRO Bhuvan open data archive page,https://bhuvan-app3.nrsc.gov.in/data/download/index.php,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Downloads_2026-05-27\metadata\isro_bhuvan_open_data_archive_page.html,Open EO archive landing page; download selection is interactive.
2026-05-27T11:23:19,ISRO EO applications page,https://www.isro.gov.in/ISRO_EN/SpaceBasedEarthObservationServices.html,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Downloads_2026-05-27\metadata\isro_eo_applications_page.html,"Documents available services; some data free, some login/on demand."
2026-05-27T11:23:20,SLUSI portal metadata,https://slusi.da.gov.in/,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Downloads_2026-05-27\metadata\slusi_portal_metadata.html,Soil survey portal; direct district DSS/SRM downloads were not exposed through static HTML.
2026-05-27T11:23:21,CRRI portal metadata,https://crridom.gov.in/,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Downloads_2026-05-27\metadata\crri_portal_metadata.html,Research institute site; raw laboratory datasets are not provided as public bulk downloads.
2026-05-27T11:23:42,NGDR portal metadata,https://geodataindia.gov.in/,failed_unverified_ssl,,"retry of NGDR landing page using unverified SSL because portal presented a self-signed certificate chain; URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>"
2026-05-27T11:23:43,Data.gov.in Soil Health Card organic carbon,https://www.data.gov.in/resource/stateuts-wise-macro-nutrients-organic-carbon-status-based-soil-health-card-distributed,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Downloads_2026-05-27\metadata\data_gov_in_soil_health_card_organic_carbon_resource.html,state/UT macro nutrients and organic carbon resource metadata
2026-05-27T11:23:43,Data.gov.in Soil Health Card organic carbon,https://api.data.gov.in/resource/stateuts-wise-macro-nutrients-organic-carbon-status-based-soil-health-card-distributed?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=json&limit=1000,downloaded,D:\kec folder\my files\student project\Elsevier_Q2_ExternalOnly_StabilizedSoil_ML\External_Data_Downloads_2026-05-27\raw_downloads\data_gov_in_soil_health_card_attempt_1.json,attempted public/sample API access; verify with registered API key if blocked
2026-05-27T11:23:44,Data.gov.in Soil Health Card organic carbon,https://api.data.gov.in/resource/stateuts-wise-macro-nutrients-organic-carbon-status-based-soil-health-card-distributed?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=csv&limit=1000,not_downloaded_http_200,,attempted public/sample API access; verify with registered API key if blocked; bytes=0; final_url=https://api.data.gov.in/resource/stateuts-wise-macro-nutrients-organic-carbon-status-based-soil-health-card-distributed?api-key=579b464db66ec23bdd000001cdd3946e44ce4aad7209ff7b23ac571b&format=csv&limit=1000
